Player_ID,MP,Goals,Assists,Yellow Cards,Red Cards,Competition ID,Season
132,3,0,0,0,0,3,Spring 2021
133,3,0,0,1,0,1,2021-22
134,3,0,0,1,0,3,Fall 2020
135,3,0,0,1,0,3,Fall 2020
136,3,0,0,1,0,1,2019-20
137,3,0,0,2,0,6,Summer 2022
138,2,0,1,0,0,6,Summer 2022
139,2,0,1,1,0,6,Summer 2022
140,2,0,0,0,0,1,2018-19
141,2,0,0,0,0,6,Summer 2022
142,2,0,0,0,0,4,Spring 2021
143,2,0,0,0,0,4,Spring 2021
144,2,0,0,0,0,6,Summer 2022
145,2,0,0,0,0,6,Summer 2022
146,2,0,0,0,0,3,Fall 2020
147,2,0,0,0,0,1,2021-22
148,2,0,0,0,0,6,Summer 2022
149,2,0,0,0,0,4,Spring 2021
150,2,0,0,0,0,4,Spring 2021
151,2,0,1,0,0,6,Summer 2022
151,1,0,0,0,0,6,Summer 2022
152,2,0,0,0,0,1,2021-22
153,2,0,0,0,0,1,2021-22
154,2,0,0,0,0,3,Fall 2021
155,2,0,0,1,0,3,Fall 2021
156,1,0,0,0,0,1,2021-22
157,1,0,0,0,0,1,2021-22
158,1,0,0,0,0,1,2021-22
159,1,0,0,0,0,1,2019-20
160,1,0,0,0,0,4,Spring 2021
161,1,0,0,0,0,3,Fall 2020
162,1,0,0,0,0,6,Summer 2022
163,1,0,0,0,0,5,Winter 2022
164,1,0,0,0,0,4,Spring 2021
165,1,0,0,0,0,1,2021-22
166,1,0,0,0,0,1,2021-22
167,1,0,0,0,0,1,2021-22
168,1,0,0,0,0,6,Summer 2022
169,1,0,0,0,0,1,2021-22
170,4,2,0,0,0,6,Summer 2022
171,3,0,0,0,0,6,Summer 2022
172,3,0,0,0,0,6,Summer 2022
173,4,0,1,0,0,6,Summer 2022
174,1,0,0,0,0,6,Summer 2022
175,3,0,0,0,0,6,Summer 2022
176,5,0,0,0,0,6,Summer 2022
177,2,0,0,0,0,6,Summer 2022
178,2,0,0,0,0,6,Summer 2022
179,4,0,0,0,0,6,Summer 2022
180,4,0,0,0,0,6,Summer 2022
181,1,0,0,0,0,6,Summer 2022
182,6,0,0,1,0,6,Summer 2022
183,1,0,0,1,0,6,Summer 2022
